"Finance Cost","Custo do Parcelamento"
"Rewrite notification URL","Reescribe la notificación URL"
"You can override notification URLs which are automatically generated. In order to use the module's default, please do not fill in this details.","Puedes substituir las URLs de notificación que se generan automáticamente. Para usar el padrón del módulo, por favor, no cargues estos datos."
"Store Name, Category and Integrator ID","Nombre de la tienda, Categoría e ID del Integrador"
"Store Name","Nombre de la tienda"
"This is the store's name as it will appear on the customer's invoice. In case the sale was made through Checkout Pro, the invoice will also show Mercado Pago in the name.","El nombre de la tienda igual a como figurará en la factura del cliente. Si la venta se hizo por medio del Checkout Pro, la factura también identificará a Mercado Pago en el nombre."
"Category of your store","Categoría de tu tienda"
"The product category of your store on Mercado Pago.","La categoría del producto de tu tienda en Mercado Pago."
"Integrator ID","ID del integrador"
"With this number, we are able to identify all your transactions and know how many sales were processed using your account. Become a certified Mercado Pago partner and request your integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>.","Con este número, podemos identificar todas tus operaciones y saber cuántas ventas fueron procesadas con tu cuenta. Conviértete en un socio certificado de Mercado Pago y pide tu integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>."
"Sales requirements","Exigencias de ventas"
"Checkout Pro","Checkout Pro"
Enabled,Activado
Title,Título
"Payment method title at the store's checkout.","Título de la forma de pago en el checkout de la tienda."
"Deadline for payment","Plazo límite para el pago"
"Calendar days.","Días seguidos."
"Payment completion view","Visualización de la finalización del pago"
"Modal: Buyer will close via modal on the checkout screen. Redirection: Buyer will be redirected to the Mercado Pago website.","Modal, el cliente finalizará vía modal en la pantalla de checkout. Redireccionamiento, el cliente será redireccionado al sitio de Mercado Pago"
"Removed payment method","Medio de pago finalizado"
"Select the payment methods you do NOT want to accept.","Selecciona los medios de pago que NO quieres aceptar."
"Installment options limit","Límite de cuotas"
"It is possible to configure the number of installments in Checkout Pro, but the limit of installments per purchase will also depend on the minimum and maximum amount defined by each flag in the country of your store.","Se puede configurar el número de cuotas en Checkout Pro, pero el límite de cuotas por compra también depende de los valores mínimo y máximo determinados por cada bandera del país en que se encuentra tu tienda."
"Conversion tags","Tags de conversión"
"You can link your Checkout Pro sales with external services.","Puedes asociar tus ventas del Checkout Pro a servicios externos."
Facebook,Facebook
"Link your sales with Facebook by entering the ID No. and your tracking code.","Asocia tus ventas al Facebook, informando el ID del de tu código de rastreo."
"Google Ads","Google Ads"
"Link your sales with Google Ads by entering the ID No. and your tracking code.","Asocia tus ventas al Google Ads, informando el ID del tu código de rastreo."
"Link your sales with Google Ads by entering the Label and your tracking code.","Asocia tus ventas al Google Ads, informando el Label del tu código de rastreo."
"Customization and Styles","Personalización y estilos"
"Set up how the items will appear in the modal window in which the buyer will complete the purchase.","Define la apariencia de los ítems en la ventana modal en la que el cliente finalizará la compra."
"Header Color","Color del header"
"Elements Color","Colores de los elementos"
"Common Payment Method Definitions","Definiciones comunes de medios de pago"
"Minimum order total","Monto mínimo del pedido"
"Minimum amount to pay with Checkout Pro.","Monto mínimo para pago con Checkout Pro."
"Maximum order amount","Monto máximo de pedido"
"Maximum amount to pay with Checkout Pro","Monto máximo a pagar con Checkout Pro."
"Payment From Specific Countries","Pago de países específicos"
"Countries eligible to use this payment method.","Países que pueden usar este medio de pago."
"Sort Order","Orden de visualización"
"Sets up in which order the payment methods will be shown at the Checkout.","Define el orden de visualización del medio de pago en el Checkout."
"Checkout Transparent","Checkout Transparente"
"Capture of customer details in the payment form","Captura de datos del cliente en el formulario de pago"
"Activate this option if you want to obtain buyer`s documents details, using an additional field on the payment form. Disable it if your store already gets these details.","Activa esta función para capturar documentos de clientes con un campo adicional en el formulario de pago. Desactívala si la tienda ya captura estos datos."
"Capture document identification","Capturar documento de identificación"
"Capture name","Capturar nombre"
"In case you leave this option active, an additional field in the payment form will obtain this information. If disabled, details will be retrieved directly from other fields within your store.","Si se activa, el formulario de pago mostrará un campo adicional para colectar esa información. Si se inhabilita, el monto será capturado directamente de otros campos en tu tienda."
"Credit and debit cards","Tarjeta de crédito y débito"
"Enable vault","Habilitar caja fuerte"
"Allows buyer to save the card for future use.","Permite que tu cliente guarde la tarjeta para uso futuro."
"Payment Action","Perfil de pago"
"Consult the store's business sector to be able to select capturing the payment at the time of the purchase or at a later moment.","Consulta la rama de negocios de la tienda para poder elegir entre capturar el pago en el acto de la compra o posteriormente."
"Use Binary Mode","Usa el modo binario"
"Installment and interest","Cuotas e intereses"
"Set within your account","Definir en tu cuenta"
"Minimum amount for payment with this payment method.","Monto mínimo para este medio de pago."
"Maximum amount for payment with this payment method.","Monto máximo para este medio de pago."
Efecty,Efecty
"Minimum amount to pay with Efecty.","Monto mínimo a pagar con Efecty."
"Maximum amount to pay with Efecty.","Monto máximo a pagar con Efecty."
Oxxo,Oxxo
"Minimum amount to pay with Oxxo.","Monto mínimo a pagar con Oxxo."
"Maximum amount to pay with Oxxo.","Monto máximo a pagar con Oxxo."
"Pago Efectivo","Pago Efectivo"
"Minimum amount to pay with Pago Efectivo.","Monto mínimo a pagar con Pago Efectivo."
"Maximum amount to pay with Pago Efectivo.","Monto máximo a pagar con Pago Efectivo."
"Pago Fácil","Pago Fácil"
"Minimum amount to pay with Pago Fácil.","Monto mínimo a pagar con Pago Fácil."
"Maximum amount to pay with Pago Fácil.","Monto máximo a pagar con Pago Fácil."
PayCash,PayCash
"Minimum amount to pay with PayCash.","Monto mínimo a pagar con PayCash."
"Maximum amount to pay with PayCash.","Monto máximo a pagar con PayCash."
"Casas Lotéricas","Casas Lotéricas"
"Minimum amount to pay with Pec.","Monto mínimo a pagar con Pec."
"Maximum amount to pay with Pec.","Monto máximo a pagar con Pec."
Pse,Pse
"Minimum amount to pay with Pse.","Monto mínimo a pagar con Pse."
"Maximum amount to pay with Pse.","Monto máximo a pagar con Pse."
"Rapi Pago","Rapi Pago"
Redpagos,Redpagos
"Minimum amount to pay with Redpagos.","Monto mínimo a pagar con Redpagos."
"Maximum amount to pay with Redpagos.","Monto máximo a pagar con Redpagos."
Serfin,Serfin
"Minimum amount to pay with Serfin.","Monto mínimo a pagar con Serfin."
"Maximum amount to pay with Serfin.","Monto máximo a pagar con Serfin."
Webpay,Webpay
"Minimum amount to pay with Webpay.","Monto mínimo a pagar con Webpay."
"Maximum amount to pay with Webpay.","Monto máximo a pagar con Webpay."
"Store information hosted in Mercado Pago","Información de la tienda en Mercado Pago"
"User Id","Código de identificación"
"User Email","E-mail de usuario"
"User Name","Nombre"
"There is nothing to post to account, something went wrong.","There is nothing to post to account, something went wrong."
"bank_id not found.","bank_id not found."
"GMT not found.","GMT not found."
"Date format must be yyyy-MM-dd.","Date format must be yyyy-MM-dd."
"Zero amount is not valid.","Zero amount is not valid."
"another balance block is being processed for this payer.","another balance block is being processed for this payer."
"Invalid currency id.","Invalid currency id."
"Config not found.","Config not found."
"Template not found.","Template not found."
"Site is not configured for money release.","Site is not configured for money release."
"Day is not valid for money release.","Day is not valid for money release."
"Config already exist.","Config already exist."
"The type parameter must be full_financing or no_financing.","The type parameter must be full_financing or no_financing."
"Warning!! WrapperCache failed to update a key, may be outdated a key.","Warning!! WrapperCache failed to update a key, may be outdated a key."
"Invalid money_release_date.","Invalid money_release_date."
"Error obtaining rule profile.","Error obtaining rule profile."
"Shipping restriction get API fail.","Shipping restriction get API fail."
"Refund not allowed by shipping.","Refund not allowed by shipping."
"Wrong percentage to refund.","Wrong percentage to refund."
"Movement operations pending.","Movement operations pending."
"Movement operations failed.","Movement operations failed."
"Payer doesn't support refunds.","Payer doesn't support refunds."
"No partial refund is supported for shipping.","No partial refund is supported for shipping."
"User unavailable.","User unavailable."
"Invalid message from streams.","Invalid message from streams."
"Fail sync kvs to oracle.","Fail sync kvs to oracle."
"Collector doesn't support refunds.","Collector doesn't support refunds."
"Exchange doesn't support partial refunds.","Exchange doesn't support partial refunds."
"Payment doesn't refund support.","Payment doesn't refund support."
"Could not find a valid MovementOperationProcessor.","Could not find a valid MovementOperationProcessor."
"KVS schema validation error.","KVS schema validation error."
"The parameter msg.movement_operation_ids can not be null or empty.","The parameter msg.movement_operation_ids can not be null or empty."
"Payment doesn't support refund type.","Payment doesn't support refund type."
"Invalid marketplaceFee value.","Invalid marketplaceFee value."
"The payment has taxes contingencies to resolve.","The payment has taxes contingencies to resolve."
"DS schema validation error.","DS schema validation error."
"Connection to Loan API Failed.","Connection to Loan API Failed."
"Error in loans api, invocation.","Error in loans api, invocation."
"Loan error, bad_request.","Loan error, bad_request."
"Loan error, incomplete_reference_data.","Loan error, incomplete_reference_data."
"Loan error, credit_option_not_found.","Loan error, credit_option_not_found."
"Loan error, invalid_borrower, the user is not authorized to take loans.","Loan error, invalid_borrower, the user is not authorized to take loans."
"Loan error, invalid_credit_option_status.","Loan error, invalid_credit_option_status."
"Loan error, expired_credit_option.","Loan error, expired_credit_option."
"Loan error, insufficient_credit_balance.","Loan error, insufficient_credit_balance."
"Loan error, internal_error.","Loan error, internal_error."
"Loan error, simulation_error.","Loan error, simulation_error."
"Loan error, save_loan_error.","Loan error, save_loan_error."
"Loan error, forbidden.","Loan error, forbidden."
"Loan error, invalid_status_transition.","Loan error, invalid_status_transition."
"Loan error, invalid_status.","Loan error, invalid_status."
"Loan error, already_captured.","Loan error, already_captured."
"Loan error, none_options_match.","Loan error, none_options_match."
"Loan error, the lender hasn't the required balance.","Loan error, the lender hasn't the required balance."
"Loan error, invalid ip address.","Loan error, invalid ip address."
"Invalid authorization.","Invalid authorization."
"Connection to Digital Wallet API Failed.","Connection to Digital Wallet API Failed."
"Digital wallet error.","Digital wallet error."
"Digital wallet get authorization error.","Digital wallet get authorization error."
"Digital wallet invalid transaction status.","Digital wallet invalid transaction status."
"Digital wallet get transaction error.","Digital wallet get transaction error."
"Digital wallet refund rejected.","Digital wallet refund rejected."
"Digital wallet Service Unavailable.","Digital wallet Service Unavailable."
"Invalid order.","Invalid order."
"Invalid order status.","Invalid order status."
"Invalid order type.","Invalid order type."
"Order without approved regular_payment.","Order without approved regular_payment."
"Invalid order owner.","Invalid order owner."
"To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit.","To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit."
"The expiration date can not be greater than 29 days.","The expiration date can not be greater than 29 days."
"Invalid expiration date.","Invalid expiration date."
"To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name.","To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name."
"third_party.identification.type required.","third_party.identification.type required."
"third_party.identification.number required.","third_party.identification.number required."
"Invalid third_party.identification.type.","Invalid third_party.identification.type."
"third_party.identification.number attribute must be numeric.","third_party.identification.number attribute must be numeric."
"third_party.identification.number attribute must be positive.","third_party.identification.number attribute must be positive."
"Payment method not supported for refunds.","Payment method not supported for refunds."
"Refund not applicable by tags.","Refund not applicable by tags."
"BIGQ payments-payments fail.","BIGQ payments-payments fail."
"Fail proactive cache.","Fail proactive cache."
"Invalid site_id.","Invalid site_id."
"The payment status is not valid to refunded.","The payment status is not valid to refunded."
"The payment has type movements income - special_transfer.","The payment has type movements income - special_transfer."
"BIGQ ggaas-movement-operation-bradesco post fail.","BIGQ ggaas-movement-operation-bradesco post fail."
"BIGQ ggaas-movement-operation-resto post fail.","BIGQ ggaas-movement-operation-resto post fail."
"BIGQ payments-restrict-movements post fail.","BIGQ payments-restrict-movements post fail."
"BIGQ ggaas-movement-operation-splitter post fail.","BIGQ ggaas-movement-operation-splitter post fail."
"POST to Reserve API fail.","POST to Reserve API fail."
"PUT to Reserve API fail.","PUT to Reserve API fail."
"GET to Reserve API fail.","GET to Reserve API fail."
"Invalid reserve.","Invalid reserve."
"params transaction_details.bank_transfer_id cant be null.","params transaction_details.bank_transfer_id cant be null."
"params transaction_details.bank_transfer_id must be integer.","params transaction_details.bank_transfer_id must be integer."
"params transaction_details.transaction_id cant be null.","params transaction_details.transaction_id cant be null."
"customer different to collector.","customer different to collector."
"Invalid account fund status.","Invalid account fund status."
"PUT to Reserve API conflict.","PUT to Reserve API conflict."
"Invalid tag.","Invalid tag."
"Loan error, grant refund rejected.","Loan error, grant refund rejected."
"Loan error, grant refund bad_request.","Loan error, grant refund bad_request."
"Loan error, grant refund api fail.","Loan error, grant refund api fail."
"Taxes API Fail.","Taxes API Fail."
"Only account_money can have reserve_id.","Only account_money can have reserve_id."
"Fail authorazing reserve.","Fail authorazing reserve."
"Fail deauthorazing reserve.","Fail deauthorazing reserve."
"Invalid reserve id.","Invalid reserve id."
"PUT to Reserve API Unknown Error.","PUT to Reserve API Unknown Error."
"POST to revert reserve API fail.","POST to revert reserve API fail."
"POST to reserve API forbidden.","POST to reserve API forbidden."
"Incomplete data for charges.","Incomplete data for charges."
"PUT to reserve API forbidden.","PUT to reserve API forbidden."
"ReserveId cant be null.","ReserveId cant be null."
"BankTransfers Api fail.","BankTransfers Api fail."
"Invalid sort value.","Invalid sort value."
"Invalid criteria value.","Invalid criteria value."
"Offset parameter is too large.","Offset parameter is too large."
"Server busy for executing search.","Server busy for executing search."
"Invalid params on executed search.","Invalid params on executed search."
"third_party.identification required.","third_party.identification required."
"Payment method must be cbu for subsidy.","Payment method must be cbu for subsidy."
"GET to MERCHANT_ACCOUNT API failed.","GET to MERCHANT_ACCOUNT API failed."
"Product id is incorrect for tef.","Product id is incorrect for tef."
"Unauthorized product_id.","Unauthorized product_id."
"Header productId can't be null.","Header productId can't be null."
"Can't re update external reference.","Can't re update external reference."
"Payment router cannot find route.","Payment router cannot find route."
"Payment router unavailable.","Payment router unavailable."
"Payment router error.","Payment router error."
"Payment router invalid credentials.","Payment router invalid credentials."
"Payment router missing credentials.","Payment router missing credentials."
"Payment router solved route not found.","Payment router solved route not found."
"Payment router error getting solved route.","Payment router error getting solved route."
"Invalid G2 merchant account.","Invalid G2 merchant account."
"Invalid coupon total amount.","Invalid coupon total amount."
"Invalid source type.","Invalid source type."
"Operation not supported.","Operation not supported."
"Invalid status_detail for Reject.","Invalid status_detail for Reject."
"API Offline Payment: Service unavailable.","API Offline Payment: Service unavailable."
"API Offline Payment: Server provider error.","API Offline Payment: Server provider error."
"API Offline Payment: Reason invalid.","API Offline Payment: Reason invalid."
"API Offline Payment: Transaction not found.","API Offline Payment: Transaction not found."
"Too many tax fields.","Too many tax fields."
"Compliance Support MCC API Fail.","Compliance Support MCC API Fail."
"User status not allowed for this operation.","User status not allowed for this operation."
"Banking Connection API fail.","Banking Connection API fail."
"Financial Identity API fail.","Financial Identity API fail."
"Collector user without key enabled for QR render.","Collector user without key enabled for QR render."
"params point_of_interaction.type cant be null.","params point_of_interaction.type cant be null."
"params point_of_interaction.application_data.name cant be null.","params point_of_interaction.application_data.name cant be null."
"param bank_transfer_id cant be null.","param bank_transfer_id cant be null."
"param transaction_id cant be null.","param transaction_id cant be null."
"param point_of_interaction cant be null.","param point_of_interaction cant be null."
"param point_of_interaction.sub_type cant be null.","param point_of_interaction.sub_type cant be null."
"Payment Method not allowed to send this type in point_of_interaction.","Payment Method not allowed to send this type in point_of_interaction."
"Param point_of_interaction.type not allowed.","Param point_of_interaction.type not allowed."
"Invalid point_of_interaction.location.state_id.","Invalid point_of_interaction.location.state_id."
"Invalid point_of_interaction.location.source.","Invalid point_of_interaction.location.source."
"Invalid point_of_interaction.location. Service unavailable.","Invalid point_of_interaction.location. Service unavailable."
"This payment have a infraction that not can update status.","This payment have a infraction that not can update status."
"The update status infraction is not allowed.","The update status infraction is not allowed."
"param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null.","param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null."
"param financial_institution cant be null.","param financial_institution cant be null."
"param point_of_interaction.transaction_data.financial_institution can't be null.","param point_of_interaction.transaction_data.financial_institution can't be null."
"param point_of_interaction.transaction_data can't be null.","param point_of_interaction.transaction_data can't be null."
"param point_of_interaction.linked_to is not allowed.","param point_of_interaction.linked_to is not allowed."
"There was a problem calling ThreeDS server.","There was a problem calling ThreeDS server."
"ThreeDS server not found.","ThreeDS server not found."
"Payment Type not allowed.","Payment Type not allowed."
"GET to PayIn API Fail.","GET to PayIn API Fail."
"PUT to PayIn API Fail.","PUT to PayIn API Fail."
"PayIn not found.","PayIn not found."
"Invalid status payIn.","Invalid status payIn."
"PayIn refund rejected.","PayIn refund rejected."
"PIX Service Unavailable.","PIX Service Unavailable."
"GET to Bank Connection API Fail.","GET to Bank Connection API Fail."
"Refund in process.","Refund in process."
"POST to PayIn API Fail.","POST to PayIn API Fail."
"POST Payin service is unavailable.","POST Payin service is unavailable."
"PUT Payin service is unavailable.","PUT Payin service is unavailable."
"GET PayIn by BankTransferId API Fail.","GET PayIn by BankTransferId API Fail."
"Hulk bad request.","Hulk bad request."
"Hulk bad gateway.","Hulk bad gateway."
"Hulk service unavailable.","Hulk service unavailable."
"Hulk negative balance.","Hulk negative balance."
"Hulk different sites between users.","Hulk different sites between users."
"Hulk invalid amount for cancellation.","Hulk invalid amount for cancellation."
"Hulk invalid amount for user.","Hulk invalid amount for user."
"Hulk invalid currency for site.","Hulk invalid currency for site."
"Hulk invalid type users involved.","Hulk invalid type users involved."
"Hulk invalid request.","Hulk invalid request."
"Hulk server error.","Hulk server error."
"Hulk unmapped invalid request error.","Hulk unmapped invalid request error."
"Hulk invalid move to cancel.","Hulk invalid move to cancel."
"Hulk invalid data for cancellation.","Hulk invalid data for cancellation."
"Hulk invalid detail.","Hulk invalid detail."
"Hulk error fix empty key on reserve.","Hulk error fix empty key on reserve."
"Limit of allowed refunds exceeded, try other refund mode.","Limit of allowed refunds exceeded, try other refund mode."
"Unsupported refund status.","Unsupported refund status."
"Unsupported refund authorization mode.","Unsupported refund authorization mode."
"There is a authorized Refund in process.","There is a authorized Refund in process."
"Funder is not a meliplace.","Funder is not a meliplace."
"Funder without id.","Funder without id."
"Funder attribute is not allowed.","Funder attribute is not allowed."
"Funder restricted.","Funder restricted."
"The Payment Method Reference Id is wrong.","The Payment Method Reference Id is wrong."
"The Merchant is not a meliplace.","The Merchant is not a meliplace."
"Store id is empty.","Store id is empty."
"Store id is invalid.","Store id is invalid."
"Meliplace validation error.","Meliplace validation error."
"Meliplace is not enabled.","Meliplace is not enabled."
"Invalid reserve for the charge.","Invalid reserve for the charge."
"Reservation for the charge failed.","Reservation for the charge failed."
"Revert for the reservation associated to charge failed.","Revert for the reservation associated to charge failed."
"Idempotency value for create charge cannot match with payment id.","Idempotency value for create charge cannot match with payment id."
"Charges is currently in process.","Charges is currently in process."
"POST to rule_engine-taxes API fail.","POST to rule_engine-taxes API fail."
"POST to rule_engine API fail.","POST to rule_engine API fail."
"movOpId attribute can't be null.","movOpId attribute can't be null."
"To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number.","To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number."
"external_operations.source value is not allowed.","external_operations.source value is not allowed."
"external_operations.source can't be null.","external_operations.source can't be null."
