"Finance Cost","Custo do Parcelamento"
"Store ID: %1 Not allowed for production use","Store ID: %1 Não habilitada para uso em produção."
"There was an error saving: %1","Erro ao salvar: %1"
"Error fetching information: %1","Erro ao obter informações: %1"
"Please check store id %1 credentials","Por favor, verifique as credenciais da loja id %1"
"Order %1 - Increment Id %2 - state %3","Order %1 - Increment Id %2 - state %3"
"Card - MercadoPago","Card - MercadoPago"
"Checkout Pro - MercadoPago","Checkout Pro - MercadoPago"
"Pix - MercadoPago","Pix - MercadoPago"
"Pse - MercadoPago","Pse - MercadoPago"
"Webpay - MercadoPago","Webpay - MercadoPago"
"Document Type","Tipo de Documento"
"Document number","Número do documento"
Instruction,Instruções
"Due date","Vencimento"
"In order to comply with PCI regulations, the administrator cannot capture this payment method.","Devido à conformidade com o PCI, não é possível capturar esta forma de pagamento pelo administrador."
"Payer Entity Type","Tipo da instituição de pagamento"
"Financial Institution","Instituição financeira"
"Your access credential for store %1 is valid but you don\'t have production use permission. Request approval before use by <a href="%2">click here</a>..","Sua credencial de acesso à loja %1 é válida, mas você não tem permissão de uso de produção. Solicite aprovação antes de usar <a href="%2">clique aqui</a>."
"Your payment will be valid until","Seu pagamento é válido até"
"Link for payment","Link para pagamento"
"Details for payment","Detalhes para o pagamento"
"Verification Code","Código de Verificação"
"Line Code is","O código de barras é"
"Issued on behalf of","Emitido em nome de"
"Mercado Pago partnership code","Código do convênio com o Mercado Pago"
"To pay, please scan the QR code","Para pagar, escaneie o código QR"
"or, if you prefer, copy-paste the code","ou, se preferir, copie e cole o código"
"Further instructions","Ler mais instruções"
"The Line Code is","O código de barras é"
Copy,Copiar
Copied,Copiado
"Enter the ID Document you used in the purchase","Informe o Documento de Identificação usado na compra"
Pix,Pix
Waiting...,Aguardando...
"Place Order","Realizar pedido"
"Payer First Name","Nome do Pagador"
"Payer Last Name","Sobrenome do Pagador"
"Card details","Dados do cartão"
"Card number","Número do cartão"
"CVV - Card Verification Value","CVV - Código de segurança"
"What is this?","O que é isso?"
"Expiration month","Mês de vencimento"
"Expiration year","Ano de vencimento"
"Card holder full name","Nome impresso no cartão"
"Number of installments","Número de parcelas"
"Save for later use.","Salvar para uso futuro."
"A 3-digit number in italics on the back of your card.","Um número de 3 dígitos em itálico no verso do seu cartão."
"Entity Type","Tipo"
"Please provide a valid document identification.","Por favor, forneça um documento de identificação válido."
"Unable to make payment, check card details.","Não foi possível efetuar o pagamento. Por favor, verifique os dados do cartão."
"Payment Services","Serviços de pagamento"
"Permission to set up the module","Permissão para configurar o módulo"
"<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>It offers payments with credit and debit cards, as well as offline means - in addition to exclusive advantages for those who pay logged into their Mercado Pago account, such as credits, discounts and other special conditions.</p></div>","<div class='mercadopago-payment-logo'></div><div class='mercadopago-payment-byline'><p><b>Mercado Pago</b></p><p>Oferece pagamentos com cartões de crédito e débito, além dos meios off-line e vantagens exclusivas para quem paga depois de iniciar sessão na conta Mercado Pago, como créditos, descontos e outras condições especiais.</p></div>"
"Technical support available <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>here</a>.","Suporte técnico disponível <a href='https://github.com/mercadopago/adb-payment/issues/new/choose'>aqui</a>."
"Basic Settings","Configurações Básicas"
"Mercado Pago integration","Integração com o Mercado Pago"
"<p>In order to sell or test a store, you must first enter your test and production credentials.</p><p>Using the account of the collaborator with access to Mercado Pago Seller Account, search the credentials according to the account: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> and <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>","<p>Para vender ou testar loja, é preciso inserir credenciais de teste e de produção.</p><p>Com o colaborador com acesso da Conta de Vendedor do Mercado Pago, busque as credenciais de acordo com a conta: <a href='https://www.mercadopago.com/mla/account/credentials' target='_blank'>Argentina</a>, <a href='https://www.mercadopago.com/mlb/account/credentials' target='_blank'>Brazil</a>, <a href='https://www.mercadopago.com/mlc/account/credentials' target='_blank'>Chile</a>, <a href='https://www.mercadopago.com/mco/account/credentials' target='_blank'>Colombia</a>, <a href='https://www.mercadopago.com/mlm/account/credentials' target='_blank'>Mexico</a>, <a href='https://www.mercadopago.com/mlu/account/credentials' target='_blank'>Uruguay</a> e <a href='https://www.mercadopago.com/mpe/account/credentials' target='_blank'>Peru</a>.</p>"
"Checkout operation mode","Modo de Operação do Checkout"
"When operational mode is set as Sandbox, your sales will not be communicated to financial institutions.","Quando o modo operacional estiver definido como Sandbox, suas vendas não serão comunicadas às instituições financeiras."
"Public Key - production","Public Key - produção"
"Access Token - production","Access Token - produção"
"Public Key - Sandbox","Public Key - Sandbox"
"Access Token - Sandbox","Access Token - Sandbox"
"Developers support","Suporte para desenvolvedores"
Debug,Debug
"We record your store's communications with Mercado Pago in orer to offer a better support. Please note it is not recommended to use the debug mode when your store is in production mode.","Registramos as comunicações da sua loja com o Mercado Pago para oferecer um suporte ainda melhor. Atenção: não é recomendado usar o modo debug com a loja em modo de produção."
"Rewrite notification URL","Reescrever a URL de notificação"
"You can override notification URLs which are automatically generated. In order to use the module's default, please do not fill in this details.","Você pode substituir os URLs de notificação que são gerados automaticamente. Para usar o padrão do módulo, por favor, não preencha esses dados."
"Store Name, Category and Integrator ID","Nome da loja, Categoria e ID do Integrador"
"Store Name","Nome da loja"
"This is the store's name as it will appear on the customer's invoice. In case the sale was made through Checkout Pro, the invoice will also show Mercado Pago in the name.","O nome da loja conforme vai constar na fatura do cliente. Se a venda foi feita por meio do Checkout Pro, a fatura também identificará o Mercado Pago no nome."
"Category of your store","Categoria da sua loja"
"The product category of your store on Mercado Pago.","A categoria de produto da sua loja no Mercado Pago."
"Integrator ID","ID do Integrador"
"With this number, we are able to identify all your transactions and know how many sales were processed using your account. Become a certified Mercado Pago partner and request your integrator_id <a href='https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true' target='_blank'>here</a>.","Com este número, nós podemos identificar todas as suas transações e saber quantas vendas foram processadas com a sua conta. Torne-se um parceiro certificado do Mercado Pago e solicite seu integrator_id <a href="https://docs.google.com/forms/d/1EeO__nZuqHf4cb81NpwtDSybPT7COluSZVrXR4A8F7Q/viewform?edit_requested=true" target="_blank">here</a>."
"Sales requirements","Exigências de vendas"
"Checkout Pro","Checkout Pro"
"Enabled","Ativado"
"Title","Título"
"Payment method title at the store's checkout.","Título da forma de pagamento no checkout da loja."
"Deadline for payment","Prazo limite para pagamento"
"Calendar days.","Dias corridos."
"Payment completion view","Visualização da conclusão de pagamento"
"Modal: Buyer will close via modal on the checkout screen. Redirection: Buyer will be redirected to the Mercado Pago website.","Modal, o cliente vai concluir via modal na tela de checkout. Redirecionamento, o cliente será redirecionado para o site do Mercado Pago"
"Removed payment method","Meio de pagamento excluído"
"Select the payment methods you do NOT want to accept.","Selecione os meios de pagamento que você NÃO quer aceitar."
"Installment options limit","Limite de Parcelas"
"It is possible to configure the number of installments in Checkout Pro, but the limit of installments per purchase will also depend on the minimum and maximum amount defined by each flag in the country of your store.","É possível configurar o número de parcelas no Checkout Pro, mas o limite de parcelas por compra também depende dos valores mínimo e máximo determinados por cada bandeira do país em que sua loja se encontra."
"Conversion tags","Tags de Conversão"
"You can link your Checkout Pro sales with external services.","Você pode associar suas vendas do Checkout Pro a serviços externos."
Facebook,Facebook
"Link your sales with Facebook by entering the ID No. and your tracking code.","Associe suas vendas ao Facebook, informando o ID e seu código de rastreamento."
"Google Ads","Google Ads"
"Link your sales with Google Ads by entering the ID No. and your tracking code.","Associe suas vendas ao Google Ads, informando o ID de seu código de rastreamento."
"Link your sales with Google Ads by entering the Label and your tracking code.","Associe suas vendas ao Google Ads, informando a Label de seu código de rastreamento."
"Customization and Styles","Personalização e estilos"
"Set up how the items will appear in the modal window in which the buyer will complete the purchase.","Defina a aparência de itens na janela modal em que o cliente conclui a compra."
"Header Color","Cor do header"
"Elements Color","Cores dos elementos"
"Common Payment Method Definitions","Definições comuns de meios de pagamento"
"Minimum order total","Valor mínimo do pedido"
"Minimum amount to pay with Checkout Pro.","Valor mínimo para pagamento com Checkout Pro."
"Maximum order amount","Valor máximo de pedido"
"Maximum amount to pay with Checkout Pro","Valor máximo para pagamento com Checkout Pro."
"Payment From Specific Countries","Pagamento de países específicos"
"Countries eligible to use this payment method.","Países que podem usar este meio de pagamento."
"Sort Order","Ordem de exibição"
"Sets up in which order the payment methods will be shown at the Checkout.","Define a ordem de exibição do meio de pagamento no Checkout."
"Checkout Transparent","Checkout Transparente"
"Capture of customer details in the payment form","Captura de dados do cliente no formulário de pagamento"
"Activate this option if you want to obtain buyer`s documents details, using an additional field on the payment form. Disable it if your store already gets these details.","Ative esta função para capturar documentos de clientes com um campo adicional no formulário de pagamento. Desative se a loja já captura estes dados. "
"Capture document identification","Capturar documento de identificação"
"Capture name","Capturar nome"
"In case you leave this option active, an additional field in the payment form will obtain this information. If disabled, details will be retrieved directly from other fields within your store.","Se ativado, o formulário de pagamento vai mostrar um campo adicional para coletar essas informações. Se desabilitado, o valor será capturado diretamente de outros campos em sua loja."
"Credit and debit cards","Cartão de crédito e débito"
"Enable vault","Habilitar cofre"
"Allows buyer to save the card for future use.","Permite que seu cliente salve o cartão para uso futuro."
"Payment Action","Perfil do pagamento"
"Consult the store's business sector to be able to select capturing the payment at the time of the purchase or at a later moment.","Consulte o ramo de negócios da loja para poder escolher entre capturar o pagamento no ato da compra ou posteriormente."
"Use Binary Mode","Usar modo binário"
"Installment and interest","Parcelamento e juros"
"Set within your account","Definir na sua conta"
"Minimum amount for payment with this payment method.","Valor mínimo para este meio de pagamento."
"Maximum amount for payment with this payment method.","Valor máximo para este meio de pagamento."
Pse,Pse
"Minimum amount to pay with Pse.","Valor mínimo para pagamento Pse."
"Maximum amount to pay with Pse.","Valor máximo para pagamento Pse."
Webpay,Webpay
"Minimum amount to pay with Webpay.","Valor mínimo para pagamento Webpay."
"Maximum amount to pay with Webpay.","Valor máximo para pagamento Webpay."
"Store information hosted in Mercado Pago","Informações da loja no Mercado Pago"
"User Id","User Id"
"User Email","User Email"
"User Name","User Name"
"There is nothing to post to account, something went wrong.","There is nothing to post to account, something went wrong."
"bank_id not found.","bank_id not found."
"GMT not found.","GMT not found."
"Date format must be yyyy-MM-dd.","Date format must be yyyy-MM-dd."
"Zero amount is not valid.","Zero amount is not valid."
"another balance block is being processed for this payer.","another balance block is being processed for this payer."
"Invalid currency id.","Invalid currency id."
"Config not found.","Config not found."
"Template not found.","Template not found."
"Site is not configured for money release.","Site is not configured for money release."
"Day is not valid for money release.","Day is not valid for money release."
"Config already exist.","Config already exist."
"The type parameter must be full_financing or no_financing.","The type parameter must be full_financing or no_financing."
"Warning!! WrapperCache failed to update a key, may be outdated a key.","Warning!! WrapperCache failed to update a key, may be outdated a key."
"Invalid money_release_date.","Invalid money_release_date."
"Error obtaining rule profile.","Error obtaining rule profile."
"Shipping restriction get API fail.","Shipping restriction get API fail."
"Refund not allowed by shipping.","Refund not allowed by shipping."
"Wrong percentage to refund.","Wrong percentage to refund."
"Movement operations pending.","Movement operations pending."
"Movement operations failed.","Movement operations failed."
"Payer doesn't support refunds.","Payer doesn't support refunds."
"No partial refund is supported for shipping.","No partial refund is supported for shipping."
"User unavailable.","User unavailable."
"Invalid message from streams.","Invalid message from streams."
"Fail sync kvs to oracle.","Fail sync kvs to oracle."
"Collector doesn't support refunds.","Collector doesn't support refunds."
"Exchange doesn't support partial refunds.","Exchange doesn't support partial refunds."
"Payment doesn't refund support.","Payment doesn't refund support."
"Could not find a valid MovementOperationProcessor.","Could not find a valid MovementOperationProcessor."
"KVS schema validation error.","KVS schema validation error."
"The parameter msg.movement_operation_ids can not be null or empty.","The parameter msg.movement_operation_ids can not be null or empty."
"Payment doesn't support refund type.","Payment doesn't support refund type."
"Invalid marketplaceFee value.","Invalid marketplaceFee value."
"The payment has taxes contingencies to resolve.","The payment has taxes contingencies to resolve."
"DS schema validation error.","DS schema validation error."
"Connection to Loan API Failed.","Connection to Loan API Failed."
"Error in loans api, invocation.","Error in loans api, invocation."
"Loan error, bad_request.","Loan error, bad_request."
"Loan error, incomplete_reference_data.","Loan error, incomplete_reference_data."
"Loan error, credit_option_not_found.","Loan error, credit_option_not_found."
"Loan error, invalid_borrower, the user is not authorized to take loans.","Loan error, invalid_borrower, the user is not authorized to take loans."
"Loan error, invalid_credit_option_status.","Loan error, invalid_credit_option_status."
"Loan error, expired_credit_option.","Loan error, expired_credit_option."
"Loan error, insufficient_credit_balance.","Loan error, insufficient_credit_balance."
"Loan error, internal_error.","Loan error, internal_error."
"Loan error, simulation_error.","Loan error, simulation_error."
"Loan error, save_loan_error.","Loan error, save_loan_error."
"Loan error, forbidden.","Loan error, forbidden."
"Loan error, invalid_status_transition.","Loan error, invalid_status_transition."
"Loan error, invalid_status.","Loan error, invalid_status."
"Loan error, already_captured.","Loan error, already_captured."
"Loan error, none_options_match.","Loan error, none_options_match."
"Loan error, the lender hasn't the required balance.","Loan error, the lender hasn't the required balance."
"Loan error, invalid ip address.","Loan error, invalid ip address."
"Invalid authorization.","Invalid authorization."
"Connection to Digital Wallet API Failed.","Connection to Digital Wallet API Failed."
"Digital wallet error.","Digital wallet error."
"Digital wallet get authorization error.","Digital wallet get authorization error."
"Digital wallet invalid transaction status.","Digital wallet invalid transaction status."
"Digital wallet get transaction error.","Digital wallet get transaction error."
"Digital wallet refund rejected.","Digital wallet refund rejected."
"Digital wallet Service Unavailable.","Digital wallet Service Unavailable."
"Invalid order.","Invalid order."
"Invalid order status.","Invalid order status."
"Invalid order type.","Invalid order type."
"Order without approved regular_payment.","Order without approved regular_payment."
"Invalid order owner.","Invalid order owner."
"To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit.","To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit."
"The expiration date can not be greater than 29 days.","The expiration date can not be greater than 29 days."
"Invalid expiration date.","Invalid expiration date."
"To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name.","To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name."
"third_party.identification.type required.","third_party.identification.type required."
"third_party.identification.number required.","third_party.identification.number required."
"Invalid third_party.identification.type.","Invalid third_party.identification.type."
"third_party.identification.number attribute must be numeric.","third_party.identification.number attribute must be numeric."
"third_party.identification.number attribute must be positive.","third_party.identification.number attribute must be positive."
"Payment method not supported for refunds.","Payment method not supported for refunds."
"Refund not applicable by tags.","Refund not applicable by tags."
"BIGQ payments-payments fail.","BIGQ payments-payments fail."
"Fail proactive cache.","Fail proactive cache."
"Invalid site_id.","Invalid site_id."
"The payment status is not valid to refunded.","The payment status is not valid to refunded."
"The payment has type movements income - special_transfer.","The payment has type movements income - special_transfer."
"BIGQ ggaas-movement-operation-bradesco post fail.","BIGQ ggaas-movement-operation-bradesco post fail."
"BIGQ ggaas-movement-operation-resto post fail.","BIGQ ggaas-movement-operation-resto post fail."
"BIGQ payments-restrict-movements post fail.","BIGQ payments-restrict-movements post fail."
"BIGQ ggaas-movement-operation-splitter post fail.","BIGQ ggaas-movement-operation-splitter post fail."
"POST to Reserve API fail.","POST to Reserve API fail."
"PUT to Reserve API fail.","PUT to Reserve API fail."
"GET to Reserve API fail.","GET to Reserve API fail."
"Invalid reserve.","Invalid reserve."
"params transaction_details.bank_transfer_id cant be null.","params transaction_details.bank_transfer_id cant be null."
"params transaction_details.bank_transfer_id must be integer.","params transaction_details.bank_transfer_id must be integer."
"params transaction_details.transaction_id cant be null.","params transaction_details.transaction_id cant be null."
"customer different to collector.","customer different to collector."
"Invalid account fund status.","Invalid account fund status."
"PUT to Reserve API conflict.","PUT to Reserve API conflict."
"Invalid tag.","Invalid tag."
"Loan error, grant refund rejected.","Loan error, grant refund rejected."
"Loan error, grant refund bad_request.","Loan error, grant refund bad_request."
"Loan error, grant refund api fail.","Loan error, grant refund api fail."
"Taxes API Fail.","Taxes API Fail."
"Only account_money can have reserve_id.","Only account_money can have reserve_id."
"Fail authorazing reserve.","Fail authorazing reserve."
"Fail deauthorazing reserve.","Fail deauthorazing reserve."
"Invalid reserve id.","Invalid reserve id."
"PUT to Reserve API Unknown Error.","PUT to Reserve API Unknown Error."
"POST to revert reserve API fail.","POST to revert reserve API fail."
"POST to reserve API forbidden.","POST to reserve API forbidden."
"Incomplete data for charges.","Incomplete data for charges."
"PUT to reserve API forbidden.","PUT to reserve API forbidden."
"ReserveId cant be null.","ReserveId cant be null."
"BankTransfers Api fail.","BankTransfers Api fail."
"Invalid sort value.","Invalid sort value."
"Invalid criteria value.","Invalid criteria value."
"Offset parameter is too large.","Offset parameter is too large."
"Server busy for executing search.","Server busy for executing search."
"Invalid params on executed search.","Invalid params on executed search."
"third_party.identification required.","third_party.identification required."
"Payment method must be cbu for subsidy.","Payment method must be cbu for subsidy."
"GET to MERCHANT_ACCOUNT API failed.","GET to MERCHANT_ACCOUNT API failed."
"Product id is incorrect for tef.","Product id is incorrect for tef."
"Unauthorized product_id.","Unauthorized product_id."
"Header productId can't be null.","Header productId can't be null."
"Can't re update external reference.","Can't re update external reference."
"Payment router cannot find route.","Payment router cannot find route."
"Payment router unavailable.","Payment router unavailable."
"Payment router error.","Payment router error."
"Payment router invalid credentials.","Payment router invalid credentials."
"Payment router missing credentials.","Payment router missing credentials."
"Payment router solved route not found.","Payment router solved route not found."
"Payment router error getting solved route.","Payment router error getting solved route."
"Invalid G2 merchant account.","Invalid G2 merchant account."
"Invalid coupon total amount.","Invalid coupon total amount."
"Invalid source type.","Invalid source type."
"Operation not supported.","Operation not supported."
"Invalid status_detail for Reject.","Invalid status_detail for Reject."
"API Offline Payment: Service unavailable.","API Offline Payment: Service unavailable."
"API Offline Payment: Server provider error.","API Offline Payment: Server provider error."
"API Offline Payment: Reason invalid.","API Offline Payment: Reason invalid."
"API Offline Payment: Transaction not found.","API Offline Payment: Transaction not found."
"Too many tax fields.","Too many tax fields."
"Compliance Support MCC API Fail.","Compliance Support MCC API Fail."
"User status not allowed for this operation.","User status not allowed for this operation."
"Banking Connection API fail.","Banking Connection API fail."
"Financial Identity API fail.","Financial Identity API fail."
"Collector user without key enabled for QR render.","Collector user without key enabled for QR render."
"params point_of_interaction.type cant be null.","params point_of_interaction.type cant be null."
"params point_of_interaction.application_data.name cant be null.","params point_of_interaction.application_data.name cant be null."
"param bank_transfer_id cant be null.","param bank_transfer_id cant be null."
"param transaction_id cant be null.","param transaction_id cant be null."
"param point_of_interaction cant be null.","param point_of_interaction cant be null."
"param point_of_interaction.sub_type cant be null.","param point_of_interaction.sub_type cant be null."
"Payment Method not allowed to send this type in point_of_interaction.","Payment Method not allowed to send this type in point_of_interaction."
"Param point_of_interaction.type not allowed.","Param point_of_interaction.type not allowed."
"Invalid point_of_interaction.location.state_id.","Invalid point_of_interaction.location.state_id."
"Invalid point_of_interaction.location.source.","Invalid point_of_interaction.location.source."
"Invalid point_of_interaction.location. Service unavailable.","Invalid point_of_interaction.location. Service unavailable."
"This payment have a infraction that not can update status.","This payment have a infraction that not can update status."
"The update status infraction is not allowed.","The update status infraction is not allowed."
"param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null.","param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null."
"param financial_institution cant be null.","param financial_institution cant be null."
"param point_of_interaction.transaction_data.financial_institution can't be null.","param point_of_interaction.transaction_data.financial_institution can't be null."
"param point_of_interaction.transaction_data can't be null.","param point_of_interaction.transaction_data can't be null."
"param point_of_interaction.linked_to is not allowed.","param point_of_interaction.linked_to is not allowed."
"There was a problem calling ThreeDS server.","There was a problem calling ThreeDS server."
"ThreeDS server not found.","ThreeDS server not found."
"Payment Type not allowed.","Payment Type not allowed."
"GET to PayIn API Fail.","GET to PayIn API Fail."
"PUT to PayIn API Fail.","PUT to PayIn API Fail."
"PayIn not found.","PayIn not found."
"Invalid status payIn.","Invalid status payIn."
"PayIn refund rejected.","PayIn refund rejected."
"PIX Service Unavailable.","PIX Service Unavailable."
"GET to Bank Connection API Fail.","GET to Bank Connection API Fail."
"Refund in process.","Refund in process."
"POST to PayIn API Fail.","POST to PayIn API Fail."
"POST Payin service is unavailable.","POST Payin service is unavailable."
"PUT Payin service is unavailable.","PUT Payin service is unavailable."
"GET PayIn by BankTransferId API Fail.","GET PayIn by BankTransferId API Fail."
"Hulk bad request.","Hulk bad request."
"Hulk bad gateway.","Hulk bad gateway."
"Hulk service unavailable.","Hulk service unavailable."
"Hulk negative balance.","Hulk negative balance."
"Hulk different sites between users.","Hulk different sites between users."
"Hulk invalid amount for cancellation.","Hulk invalid amount for cancellation."
"Hulk invalid amount for user.","Hulk invalid amount for user."
"Hulk invalid currency for site.","Hulk invalid currency for site."
"Hulk invalid type users involved.","Hulk invalid type users involved."
"Hulk invalid request.","Hulk invalid request."
"Hulk server error.","Hulk server error."
"Hulk unmapped invalid request error.","Hulk unmapped invalid request error."
"Hulk invalid move to cancel.","Hulk invalid move to cancel."
"Hulk invalid data for cancellation.","Hulk invalid data for cancellation."
"Hulk invalid detail.","Hulk invalid detail."
"Hulk error fix empty key on reserve.","Hulk error fix empty key on reserve."
"Limit of allowed refunds exceeded, try other refund mode.","Limit of allowed refunds exceeded, try other refund mode."
"Unsupported refund status.","Unsupported refund status."
"Unsupported refund authorization mode.","Unsupported refund authorization mode."
"There is a authorized Refund in process.","There is a authorized Refund in process."
"Funder is not a meliplace.","Funder is not a meliplace."
"Funder without id.","Funder without id."
"Funder attribute is not allowed.","Funder attribute is not allowed."
"Funder restricted.","Funder restricted."
"The Payment Method Reference Id is wrong.","The Payment Method Reference Id is wrong."
"The Merchant is not a meliplace.","The Merchant is not a meliplace."
"Store id is empty.","Store id is empty."
"Store id is invalid.","Store id is invalid."
"Meliplace validation error.","Meliplace validation error."
"Meliplace is not enabled.","Meliplace is not enabled."
"Invalid reserve for the charge.","Invalid reserve for the charge."
"Reservation for the charge failed.","Reservation for the charge failed."
"Revert for the reservation associated to charge failed.","Revert for the reservation associated to charge failed."
"Idempotency value for create charge cannot match with payment id.","Idempotency value for create charge cannot match with payment id."
"Charges is currently in process.","Charges is currently in process."
"POST to rule_engine-taxes API fail.","POST to rule_engine-taxes API fail."
"POST to rule_engine API fail.","POST to rule_engine API fail."
"movOpId attribute can't be null.","movOpId attribute can't be null."
"To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number.","To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number."
"external_operations.source value is not allowed.","external_operations.source value is not allowed."
"external_operations.source can't be null.","external_operations.source can't be null."
"external_operations.id can't be null.","external_operations.id can't be null."
"external_operations.id must be numeric.","external_operations.id must be numeric."
"Review the card number.","Review the card number."
"Review the due date.","Review the due date."
"Review the data.","Review the data."
"Review the card's security code.","Review the card's security code."
"We are unable to process your payment.","We are unable to process your payment."
"You must authorize your card issuer to pay the amount to Mercado Pago.","You must authorize your card issuer to pay the amount to Mercado Pago."
"Call your card center to activate your card. The phone number is on the back of your card.","Call your card center to activate your card. The phone number is on the back of your card."
"We were unable to process your payment.","We were unable to process your payment."
"You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined.","You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined."
"Choose another payment method. We recommend cash payment methods.","Choose another payment method. We recommend cash payment methods."
"The card does not have enough balance.","The card does not have enough balance."
"The card does not allow payment in installments.","The card does not allow payment in installments."
"You have reached the allowed attempt limit. Choose another card or payment method.","You have reached the allowed attempt limit. Choose another card or payment method."
"The card does not process the payment.","The card does not process the payment."
"The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit).","The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit)."
"mp_payment_id","Identificação do Pagamento (Mercado Pago)"
"card_installments","Parcelas"
"card_type","Bandeira"
"card_number","Número do cartão"
"card_holder_name","Nome impresso no cartão"
"card_exp_year","Ano de Expiração"
"card_exp_month","Mês de Expiração"
"payer_document_identification","Documento de Identificação"
"payer_first_name","Nome"
"payer_last_name","Sobrenome"
"init_point","Link"
"date_of_expiration","Data de Expiração"
